LtR algorithm,repo_name,ndcg@1,ndcg@2,ndcg@3,ndcg@4,ndcg@5,ndcg@6,ndcg@7,ndcg@8,ndcg@9,ndcg@10,ndcg@11,ndcg@12,ndcg@13,ndcg@14,ndcg@15,ndcg@16,ndcg@17,ndcg@18,ndcg@19,ndcg@20,Project_Category
LambdaMART,vcmi_vcmi,0.496062992,0.325482227,0.276824595,0.23954963,0.223616165,0.238794575,0.232378249,0.24416769,0.275551952,0.283853765,0.291282826,0.28950571,0.283894739,0.282532675,0.302784992,0.321526798,0.338945179,0.330613233,0.346404806,0.361232544,Small
LambdaMART,vernesong_OpenClash,0.118110236,0.166847598,0.155411894,0.149140458,0.161598909,0.156911302,0.153356137,0.150543707,0.141563268,0.140071168,0.138800905,0.144388141,0.149278135,0.147856431,0.151961206,0.145872539,0.144823383,0.175412879,0.170257564,0.197090016,Small
LambdaMART,wiremock_wiremock,0.118110236,0.166847598,0.127698584,0.106228935,0.095390492,0.085108432,0.0996756,0.091722031,0.085232169,0.087323898,0.083639258,0.079201074,0.076475259,0.084121102,0.081540678,0.078273568,0.079779022,0.078896906,0.07701959,0.078348392,Small
LambdaMART,XTLS_Xray-core,0,0,0.055866515,0.065154653,0.071184374,0.075488043,0.070025789,0.083436814,0.094379788,0.095444248,0.118385479,0.117999477,0.117661644,0.112294584,0.150157265,0.184208123,0.17904633,0.176616301,0.208172337,0.206338996,Small
LambdaMART,zeromicro_go-zero,0.244094488,0.244094488,0.303216217,0.335639071,0.29160152,0.286480777,0.271053752,0.28900826,0.303658575,0.291853844,0.3036657,0.287552163,0.29777836,0.284195392,0.272073804,0.281048433,0.274890889,0.287993462,0.287122714,0.290582312,Small
LambdaMART,Zulko_moviepy,0.118110236,0.166847598,0.127698584,0.126086518,0.110576438,0.098657497,0.08961796,0.082466936,0.076631926,0.073259395,0.069021929,0.066612857,0.063345898,0.06153392,0.063947031,0.061384849,0.096855747,0.0953628,0.092391394,0.090167511,Small
LambdaMART,adobe_react-spectrum,0.05511811,0.079486791,0.066378723,0.064485504,0.063256454,0.056438095,0.05631715,0.05370826,0.053808015,0.053891364,0.053962322,0.054023652,0.052532637,0.051213899,0.091681812,0.090216806,0.087700145,0.086534692,0.087607101,0.086556463,Medium
LambdaMART,aseprite_aseprite,0.238095238,0.238095238,0.238095238,0.238095238,0.238095238,0.265470261,0.286231967,0.302656198,0.28910328,0.302015769,0.3130085,0.322509768,0.330825354,0.338180128,0.344743608,0.35064631,0.375185823,0.37028212,0.374418215,0.378222663,Medium
LambdaMART,dubzzz_fast-check,0,0.386852807,0.530721274,0.524894262,0.587230548,0.523933463,0.478092208,0.441827971,0.410566097,0.384445558,0.362208476,0.342988461,0.327325467,0.312394727,0.299070372,0.287087446,0.276238218,0.266357233,0.291274151,0.297896672,Medium
LambdaMART,education_classroom,0.238095238,0.238095238,0.238095238,0.21674571,0.252868801,0.278651394,0.298205372,0.283276272,0.333988605,0.327887793,0.366764075,0.40036573,0.386179538,0.373632469,0.400348488,0.404023255,0.407350355,0.410380527,0.413154749,0.415706523,Medium
LambdaMART,esphome_esphome,0,0,0.02607104,0.104417203,0.090717136,0.080938813,0.073522758,0.067656043,0.062868989,0.058869214,0.055464104,0.052520989,0.049945152,0.047666936,0.045633831,0.04380541,0.060745384,0.058572534,0.073295311,0.086837558,Medium
LambdaMART,ethereum_mist,1,0.658838469,0.517181909,0.598356925,0.551875894,0.505120661,0.458838756,0.502020468,0.483770719,0.460507111,0.491712432,0.478572981,0.456260385,0.436525866,0.418914567,0.411910008,0.398426602,0.392906173,0.387852039,0.383203166,Medium
LambdaMART,FaridSafi_react-native-gifted-chat,0.244094488,0.536518657,0.527026166,0.606546091,0.592050148,0.540964565,0.536850439,0.533595823,0.513111936,0.483974008,0.470098908,0.45142119,0.441253068,0.426513116,0.413359022,0.401529217,0.390818623,0.376839119,0.364040425,0.353031876,Medium
LambdaMART,FormidableLabs_victory,0,0.009138255,0.064268236,0.057434493,0.049898795,0.044520246,0.062806325,0.062192848,0.066149325,0.061940853,0.059724418,0.082878029,0.081516573,0.077798247,0.077145682,0.080480852,0.078878664,0.079496482,0.08712526,0.087553876,Medium
LambdaMART,Genymobile_scrcpy,0.023622047,0.023622047,0.031012263,0.03506512,0.037696174,0.036179136,0.032864207,0.030241822,0.032001963,0.033472631,0.08937846,0.087560489,0.085969387,0.084562125,0.081962891,0.079625334,0.077508932,0.075581409,0.074886408,0.07246471,Medium
LambdaMART,hibernate_hibernate-orm,0.496062992,0.398588269,0.31799665,0.268504173,0.298361046,0.272142095,0.247206955,0.307275729,0.289434124,0.271020097,0.269462668,0.281486853,0.268840141,0.259091348,0.269198735,0.260621114,0.269518621,0.26072295,0.285831227,0.284481533,Medium
LambdaMART,ipfs_js-ipfs,0.047619048,0.072181131,0.17070206,0.150008417,0.130326551,0.16931787,0.198889581,0.222283258,0.214417188,0.207844774,0.253664579,0.246100206,0.25816322,0.26883243,0.259397169,0.268719468,0.277159789,0.268949163,0.276526858,0.267584452,Medium
LambdaMART,LuckSiege_PictureSelector,0.244094488,0.170988446,0.143800704,0.119623846,0.169014573,0.150796635,0.139144207,0.133405692,0.130157444,0.129489229,0.125248908,0.124814183,0.121192274,0.131391749,0.127954727,0.125949557,0.125595185,0.123809028,0.122131437,0.119541491,Medium
LambdaMART,psf_black,1,0.707575831,0.547093351,0.496150898,0.562258459,0.609442249,0.558652054,0.59386921,0.622605303,0.58650132,0.566695841,0.542892361,0.56531073,0.550658658,0.528179332,0.516796834,0.499349685,0.485712826,0.470018706,0.462712702,Medium
LambdaMART,pygame_pygame,0,0,0,0.102094188,0.102851629,0.103444614,0.111921496,0.119016217,0.115380359,0.115181324,0.13140658,0.128051903,0.141686336,0.14060959,0.137517394,0.148691161,0.158980901,0.157612981,0.154608027,0.163441856,Medium
LambdaMART,google_orbit,0,0,0,0.168127536,0.14606835,0.130323766,0.118382793,0.108936493,0.101228608,0.158409153,0.149246458,0.141326933,0.1343957,0.128265327,0.122794515,0.117874477,0.113419921,0.145132712,0.140203529,0.135669586,Medium
LambdaMART,PyGithub_PyGithub,0.023622047,0.017529877,0.041129988,0.07525391,0.065380215,0.064274071,0.069206834,0.06431281,0.059762308,0.055960183,0.054089682,0.057486831,0.057370659,0.060141256,0.059927007,0.057525897,0.056244648,0.055077744,0.070055052,0.067789591,Medium
LambdaMART,stellar_stellar-core,1,0.803503336,0.730427289,0.690351771,0.664335342,0.645766305,0.596778286,0.588422617,0.546788327,0.512001223,0.510847985,0.509851216,0.484846093,0.462730151,0.442993644,0.427152073,0.411009709,0.396307974,0.382848053,0.370467401,Medium
